hex_values,target_values
b'154000a6a1a0a4205817482700144000b5a120ab9320b393c60000a807b8172d0a3d0b1df0003661007d01290739174927280796b2082827b6c202c620003827',xtensa
b'0000000000000000000000000000fb00000000980000b4e3473e85bf25cb85bf25cb85bf25cb85bf25cb85bf25cb85bf25cb85bf25cb85bf25cb85bf25cb85bf',sparc
b'00009149000038a000009149000038c000009149000038630000914900003d4000009421fff0810a0000394a00009001001491090000814a0004914900004cc6',powerpc
b'832d0000000001c7050000000000000000eb408325000000000181e2ffffff00eb1fc7050000000000000000488b350000000083c101c1e11881e2ffffff0009',x86_64
b'108338601080a060000680000d01000000c207a04880a0601f1880000901000000c217a0448328601085386010c207a048833880011080000301000000c217a0',sparc
b'0087e490e090930000809300008091000090910000909300008093000088ef9fef9093000080930000a0e0b0e000c0e62ff72fee0fff1fe60ff71f2a2f3b2f22',avr
b'008c43000c3c0a00002463ffffac43000c254900088c43000c8d2600043c07000024c600013c0500003c040000ace00010ad2600042407fff43c060000acc700',mips
b'fd5810509ea72a0001502010005810509ebf2f1000a7c4ffc7542050965840f03858e0f03807f407070000ffff000000000000000050e0f0380d505810501aa7',s390
b'c3554889e589fa89f0668955fc668945f866837df800740f0fb745fcba0000000066f775f8eb040fb745fc5dc3554889e589f88975f8668945fc837df800782b',x86_64
b'0b2f0a42b900000000267900000000247900000000327c000372032079000000004a9056c049c04480530166ee53894a8966e641eafff7268023c80000000013',m68k
b'8d0b8e0a8f09460ec00102a8cfcecd0e6000d0c6a7f400045820d0ca5810d0c2502010005810d0bea728ffe4502010005820d0baa73800004330200018235020',s390
b'008c84000cac640000ac62000024020005ac6200003c020000904400000004260000042603ac6400008c440000000422023084ffffac64000024450003884400',mips
b'0a3cffff6324ff006330000043a00000439021300000ffff6324ff006330000043a00000439021380000ffff6324ff006330000043a00000439000008424ffff',mipsel
b'ea23c00000000020790000000070ff4c5008007201b28057c049c04480c0b90000000023c00000000042b9000000004a8067202079000000004a9056c049c044',m68k
b'5b6b0000ba270000bd232900e973b90520413905f943b9055941040020f701001f220300e0c31004ff470100e0c31004ff4700007da700405b6b0000ba270000',alphaev56
